state,state_po,county_name,Fips_Code,party,partyvotes,unemployment_rate,poverty_rate,less_highschool,highschool,some_college,bachelor_more
ALABAMA,AL,AUTAUGA,1001,REPUBLICAN,19838,4.9,12.1,11.5,33.6,28.4,26.6
ALABAMA,AL,BALDWIN,1003,REPUBLICAN,83544,5.6,10.1,9.2,27.7,31.3,31.9
ALABAMA,AL,BARBOUR,1005,REPUBLICAN,5622,7,27.1,26.8,35.6,26,11.6
ALABAMA,AL,BIBB,1007,REPUBLICAN,7525,6.6,20.3,20.9,44.9,23.8,10.4
ALABAMA,AL,BLOUNT,1009,REPUBLICAN,24711,4.1,16.3,19.5,33.4,34,13.1
ALABAMA,AL,BULLOCK,1011,DEMOCRAT,3446,5.5,30,25.3,40.3,22.3,12.1
ALABAMA,AL,BUTLER,1013,REPUBLICAN,5458,8.8,21.6,15,45.2,23.7,16.1
ALABAMA,AL,CALHOUN,1015,REPUBLICAN,35101,7.1,17.2,15.6,32.8,33.2,18.5
ALABAMA,AL,CHAMBERS,1017,REPUBLICAN,8753,6.8,19.6,18.4,36.7,31.6,13.3
ALABAMA,AL,CHEROKEE,1019,REPUBLICAN,10583,4.6,15.9,18.4,40.3,28.6,12.8
ALABAMA,AL,CHILTON,1021,REPUBLICAN,16085,5,16,18.2,44.4,24.6,12.7
ALABAMA,AL,CHOCTAW,1023,REPUBLICAN,4296,6.7,22.6,18.6,37.7,31.8,11.9
ALABAMA,AL,CLARKE,1025,REPUBLICAN,7324,9,18.4,19.4,41.8,26.6,12.2
ALABAMA,AL,CLAY,1027,REPUBLICAN,5601,4,16.6,23.3,37.8,28.3,10.6
ALABAMA,AL,CLEBURNE,1029,REPUBLICAN,6484,4.6,13.3,21,38,25.6,15.4
ALABAMA,AL,COFFEE,1031,REPUBLICAN,16899,4.4,15,14.1,27.2,35.9,22.8
ALABAMA,AL,COLBERT,1033,REPUBLICAN,19203,6.6,14.6,14.8,37.8,29.2,18.1
ALABAMA,AL,CONECUH,1035,REPUBLICAN,3442,7.3,22.2,15.7,51.1,20.4,12.8
ALABAMA,AL,COOSA,1037,REPUBLICAN,3631,5.5,17.1,20,40.3,26.9,12.8
ALABAMA,AL,COVINGTON,1039,REPUBLICAN,14586,4.9,17.2,16.6,37.3,30.8,15.3
ALABAMA,AL,CRENSHAW,1041,REPUBLICAN,4864,5.7,16.8,20.8,39.5,22.3,17.4
ALABAMA,AL,CULLMAN,1043,REPUBLICAN,36880,4.3,12.2,18.4,34.1,33.6,13.9
ALABAMA,AL,DALE,1045,REPUBLICAN,14303,4.9,18.1,13.9,32.3,35.7,18.1
ALABAMA,AL,DALLAS,1047,DEMOCRAT,12230,10.7,26,18.2,35.9,31.2,14.7
ALABAMA,AL,DEKALB,1049,REPUBLICAN,24767,4.5,18.2,25.2,34.2,27.6,13
ALABAMA,AL,ELMORE,1051,REPUBLICAN,30164,4.9,11.4,13.4,32.5,29.1,25.1
ALABAMA,AL,ESCAMBIA,1053,REPUBLICAN,10869,6,20.5,18.9,43.7,24.9,12.5
ALABAMA,AL,ETOWAH,1055,REPUBLICAN,35528,7.7,18.8,15.4,32.9,33.9,17.8
ALABAMA,AL,FAYETTE,1057,REPUBLICAN,7300,5,17,17.4,41.3,28.9,12.4
ALABAMA,AL,FRANKLIN,1059,REPUBLICAN,10376,4.4,16.1,22.8,36.6,26.6,14
ALABAMA,AL,GENEVA,1061,REPUBLICAN,10848,4.1,16.1,19.7,36,31.8,12.5
