"Geographic Area","County Name","Gender","Age","Year and Quarter","Time Period Dates","Year","Drug Screened Admissions ","Average TCU Drug Screen Score","New Admissions with Opioid Use","Percent of New Admissions with Opioid Use","Admissions with Diagnosed Substance Abuse Problem","Percent of Admissions with Diagnosed Substance Abuse Problem","Admissions with Opioid use in past 12 months","Percent of Admissions with Opioid use in past 12 months","State FIPS","County FIPS","Latitude","Longitude","Georeferenced Latitude &Longitude"
"State","Commonwealth","Male","45 to 49 years","Annual","1/1/2021-12/31/2021","2021","369","5.6","212","57.0","303","82.0","123","33.0","42","000","39.346129)","-75.16775513",
"State","Commonwealth","All","0 to 11 years","2020 Q2","4/1/2020-6/30/2020","2020","0","0.0","0","0.0","0","0.0","0","0.0","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","Male","50 to 55 years","2022 Q3","7/1/2022-9/30/2022","2022","102","5.0","36","35.0","76","74.0","33","32.0","42","000","39.346129)","-75.16775513",
"State","Commonwealth","All","45 to 49 years","2022 Q2","4/1/2022-6/30/2022","2022","152","5.3","68","44.0","120","78.0","54","35.0","42","000","39.346129)","-75.16775513",
"State","Commonwealth","Male","All (0 to 99 years)","Annual","1/1/2020-12-31-2020","2020","3,808","4.9","1,595","41.0","2,956","77.0","1,203","31.0","42","000","39.346129)","-75.16775513",
"State","Commonwealth","Female","50 to 55 years","2022 Q2","4/1/2022-6/30/2022","2022","10","6.9","1","10.0","9","90.0","2","20.0","42","000","39.346129)","-75.16775513",
"State","Commonwealth","Male","20 to 24 years","2018 Q1","1/1/2018-3/31/2018","2018","380","3.8","62","16.3","260","68.4","82","21.6","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","Male","12 to 19 years","2016 Q3","7/1/2016-9/30/2016","2016","79","2.8","6","7.6","42","53.2","13","16.5","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","All","35 to 39 years","2021 Q2","4/1/2021-6/30/2021","2021","256","6.3","139","54.0","220","85.0","122","47.0","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","Female","12 to 19 years","2018 Q3","7/1/2018-9/30/2018","2018","0","0.0","0","0.0","0","0.0","0","0.0","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
