"geographic_area","county","gender","age","time_period","time_period_dates","year","admits","average_tcu_score","admits_w_reported_opioid_use","of_total_admits_w_opioid_use","admits_w_diagnosed_substance_abuse_problem","of_admits_w_diagnosed_substance_abuse","admits_w_opioid_use_in_past_12_months_before_admit_1","admits_w_opioid_use_in_past_12_months_before_admit_2","state_fips","county_fips","centroid","longitude","geocoded_column"
"State","Commonwealth","Male","45 to 49 years","Annual","1/1/2021-12/31/2021","2021","369","5.6","212","57","303","82","123","33","42","000","39.346129)","-75.16775513",
"State","Commonwealth","All","0 to 11 years","2020 Q2","4/1/2020-6/30/2020","2020","0","0","0","0","0","0","0","0","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","Male","50 to 55 years","2022 Q3","7/1/2022-9/30/2022","2022","102","5","36","35","76","74","33","32","42","000","39.346129)","-75.16775513",
"State","Commonwealth","All","45 to 49 years","2022 Q2","4/1/2022-6/30/2022","2022","152","5.3","68","44","120","78","54","35","42","000","39.346129)","-75.16775513",
"State","Commonwealth","Male","All (0 to 99 years)","Annual","1/1/2020-12-31-2020","2020","3808","4.9","1595","41","2956","77","1203","31","42","000","39.346129)","-75.16775513",
"State","Commonwealth","Female","50 to 55 years","2022 Q2","4/1/2022-6/30/2022","2022","10","6.9","1","10","9","90","2","20","42","000","39.346129)","-75.16775513",
"State","Commonwealth","Male","20 to 24 years","2018 Q1","1/1/2018-3/31/2018","2018","380","3.8","62","16.3","260","68.4","82","21.6","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","Male","12 to 19 years","2016 Q3","7/1/2016-9/30/2016","2016","79","2.8","6","7.6","42","53.2","13","16.5","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","All","35 to 39 years","2021 Q2","4/1/2021-6/30/2021","2021","256","6.3","139","54","220","85","122","47","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","Female","12 to 19 years","2018 Q3","7/1/2018-9/30/2018","2018","0","0","0","0","0","0","0","0","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","Female","40 to 44 years","2022 Q2","4/1/2022-6/30/2022","2022","30","6.6","13","43","25","83","17","56","42","000","39.346129)","-75.16775513",
"State","Commonwealth","All","35 to 39 years","Annual","1/1/2020-12-31-2020","2020","742","5.4","303","40","615","82","289","38","42","000","39.346129)","-75.16775513",
"State","Commonwealth","Female","0 to 11 years","2021 Q4","10/1/2021-12/31/2021","2021","0","0","0","0","0","0","0","0","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","Male","30 to 34 years","2019 Q4","10/1/2019-12/31/2019","2019","327","4.9","97","29.7","262","80.1","105","32.1","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","Female","0 to 11 years","Annual","1/1/2021-12/31/2021","2021","0","0","0","0","0","0","0","0","42","000","39.346129)","-75.16775513",
"State","Commonwealth","All","45 to 49 years","2016 Q3","7/1/2016-9/30/2016","2016","175","4.2","41","23.4","113","64.6","54","30.9","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Jefferson","Female","All (0 to 99 years)","2020 Q4","10/1/2020-12/31/2020","2020","5","8","3","60","5","100","3","60","42","065","41.13139091","-79.00101814","POINT (-79.00101814 41.13139091)"
"County","Lawrence","Male","All (0 to 99 years)","2019 Q3","7/1/2019-9/30/2019","2019","9","3.8","1","11.1","6","66.7","1","11.1","42","073","40.99325035","-80.33754114","POINT (-80.33754114 40.99325035)"
"County","York","Female","All (0 to 99 years)","2017 Annual","1/1/2017-12/31/2017","2017","22","6","15","68.2","19","86.4","17","77.3","42","133","39.92192531","-76.72576052","POINT (-76.72576052 39.92192531)"
"County","Centre","All","All (0 to 99 years)","2018 Q4","10/1/2018-12/31/2018","2018","4","7.3","2","50","4","100","2","50","42","027","40.9193135","-77.82500112","POINT (-77.82500112 40.9193135)"
"County","Mercer","Male","All (0 to 99 years)","2017 Q2","4/1/2017-6/30/2017","2017","16","3.9","4","25","12","75","5","31.3","42","085","41.30237777","-80.26009411","POINT (-80.26009411 41.30237777)"
"County","Monroe","Male","All (0 to 99 years)","2021 Q2","4/1/2021-6/30/2021","2021","40","6.3","24","60","33","82","18","45","42","089","41.06091787","-75.34083603","POINT (-75.34083603 41.06091787)"
"County","Susquehanna","Male","All (0 to 99 years)","2020 Q3","7/1/2020-9/30/2020","2020","1","0","0","0","0","0","0","0","42","115","41.8205686","-75.80250303","POINT (-75.80250303 41.8205686)"
"County","Fulton","Female","All (0 to 99 years)","2016 Q4","10/1/2016-12/31/2016","2016","1","0","0","0","0","0","0","0","42","057","39.92487511","-78.11485045","POINT (-78.11485045 39.92487511)"
"County","Elk","Female","All (0 to 99 years)","Annual","1/1/2020-12-31-2020","2020","3","8","1","33","3","100","2","66","42","047","41.42819416","-78.6494751","POINT (-78.6494751 41.42819416)"
"County","Juniata","All","All (0 to 99 years)","2021 Q4","10/1/2021-12/31/2021","2021","4","3","1","25","2","50","1","25","42","067","40.53433008","-77.405775","POINT (-77.405775 40.53433008)"
"State","Commonwealth","Male","12 to 19 years","2019 Annual","1/1/2019-12/31/2019","2019","223","3.2","17","7.6","151","67.7","34","15.2","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","Female","40 to 44 years","2020 Q4","10/1/2020-12/31/2020","2020","11","4.8","0","0","8","72","5","45","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Somerset","Male","All (0 to 99 years)","2018 Q3","7/1/2018-9/30/2018","2018","9","6.3","3","33.3","9","100","4","44.4","42","111","39.97146299","-79.03100206","POINT (-79.03100206 39.97146299)"
"State","Commonwealth","Male","50 to 55 years","2017 Q4","10/1/2017-12/31/2017","2017","118","4.6","14","11.9","88","74.6","24","20.3","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Union","Male","All (0 to 99 years)","2019 Annual","1/1/2019-12/31/2019","2019","27","5.6","8","29.6","25","92.6","8","29.6","42","119","40.96473131","-77.06415803","POINT (-77.06415803 40.96473131)"
"County","Sullivan","Female","All (0 to 99 years)","2016 Annual","1/1/2016-12/31/2016","2016","1","0","0","0","0","0","0","0","42","113","41.4480994","-76.5147922","POINT (-76.5147922 41.4480994)"
"County","York","Female","All (0 to 99 years)","2020 Q3","7/1/2020-9/30/2020","2020","5","5.8","0","0","4","80","2","40","42","133","39.92192531","-76.72576052","POINT (-76.72576052 39.92192531)"
